samples,min_time,max_time,duration_ps,toggles,toggle_rate,avg_value,glitches,mean_time_diff,avg_jump,jump_std,jump_max,bitflip_rate,entropy,file,signal,label,auto_label
70,0,825000,825000,69,83.63636363636364,7.4714285714285715,0,11956.521739130434,6.826086956521739,2.760783976763051,11,2.869565217391304,3.99131383342181,dumptrojanA.vcd,count_trojan [3:0] $end,1,1
81,0,825000,825000,80,96.96969696969697,7.432098765432099,0,10312.5,3.1875,3.77853725004796,15,2.075,3.941675935898547,dumptrojanB.vcd,count_trojan [3:0] $end,1,0
81,0,925000,925000,80,86.48648648648648,7.580246913580247,0,11562.5,2.025,3.605464602516574,15,1.9125,3.998437877935501,dumptrojanC.vcd,count_trojan [3:0] $end,1,0
53,0,995000,995000,52,52.26130653266332,7.811320754716981,0,19134.615384615383,2.076923076923077,3.7305709701483516,15,1.8846153846153846,3.986340029585875,dumptrojanD.vcd,count_trojan [3:0] $end,1,0
3,0,645000,645000,2,3.1007751937984493,10.0,0,322500.0,15.0,0.0,15,4.0,0.9182958340544896,dumptrojanE.vcd,count_trojan [3:0] $end,1,1
38,0,995000,995000,37,37.185929648241206,7.5,0,26891.891891891893,1.7567567567567568,3.1657406409397453,15,1.8918918918918919,3.9708400131019834,dumptrojanF.vcd,count_trojan [3:0] $end,1,0
40,0,505000,505000,39,77.22772277227723,7.375,0,12948.71794871795,2.1025641025641026,3.469980209763057,15,1.9487179487179487,3.958694969562842,dumptrojanG.vcd,count_trojan [3:0] $end,1,0
51,0,515000,515000,50,97.08737864077669,7.450980392156863,0,10300.0,3.84,2.6933993391251883,8,1.0,2.995889491288273,dumptrustedA.vcd,count_trusted [3:0] $end,0,1
99,0,995000,995000,98,98.49246231155779,7.696969696969697,0,10153.061224489797,1.8571428571428572,3.356382892705923,15,1.8673469387755102,3.997219969377995,dumptrustedB.vcd,count_trusted [3:0] $end,0,0
99,0,995000,995000,98,98.49246231155779,7.303030303030303,0,10153.061224489797,1.8571428571428572,3.356382892705923,15,1.8673469387755102,3.997219969377995,dumptrustedC.vcd,count_trusted [3:0] $end,0,0
99,0,995000,995000,98,98.49246231155779,4.454545454545454,0,10153.061224489797,1.7346938775510203,2.3103627262179436,9,1.8061224489795917,3.3212469882327063,dumptrustedD.vcd,count_trusted [3:0] $end,0,0
