signal,file,samples,min_time,max_time,duration_ps,toggles,toggle_rate,avg_value,glitches,mean_time_diff,avg_jump,jump_std,jump_max,bitflip_rate,entropy,is_trusted_file,label
count_trojan,dumptrojan1.vcd,0.898183425478447,-0.22941573387056174,0.44118654016881836,0.44332496014420253,0.898183425478447,0.9797271514090145,-0.6541404834128676,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29069934160625804,0,1
count_trusted,dumptrojan2.vcd,-0.3105867919878742,-0.22941573387056174,0.40874635339169935,0.4108469410860192,-0.3105867919878742,-0.8486043773645988,1.6970847282238424,-0.22941573387056183,0.5227465641994459,2.245906182935934,1.7133097297234674,1.5275252316519468,1.9097204389481184,1.6140344756389342,0,0
count_trojan,dumptrojan2.vcd,0.898183425478447,-0.22941573387056174,0.44118654016881836,0.44332496014420253,0.898183425478447,0.9797271514090145,-0.6541404834128676,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29069934160625804,0,1
count_trusted,dumptrojan3.vcd,-0.2770098415026986,-0.22941573387056174,0.4736267269459374,0.47580297920238585,-0.2770098415026986,-0.847868630270525,1.6064168553847258,-0.22941573387056183,0.5216150569295983,1.8898599762974533,1.7195353681744465,1.5275252316519468,1.9825096581027477,0.7204173915108277,0,0
count_trojan,dumptrojan3.vcd,0.9317603759636226,-0.22941573387056174,0.4736267269459374,0.47580297920238585,0.9317603759636226,0.9797271514090145,-0.6515619008971288,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29044571152027765,0,1
count_trusted,dumptrojan4.vcd,-0.14270203956199626,4.358898943540673,0.7331482211628894,0.7031491126096692,-0.14270203956199626,-0.8224853555249756,1.3531570759639229,4.358898943540674,0.4831438097547873,2.253168197640099,1.6967864389300293,1.5275252316519468,0.7338945910656395,2.180418916892205,0,0
count_trojan,dumptrojan4.vcd,1.2339529303302028,-0.22941573387056174,0.7655884079400084,0.7681051507260359,1.2339529303302028,0.9797271514090145,-0.653822139892406,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29069934160625804,0,1
count_trusted,dumptrojan5.vcd,-0.6127793463544545,-0.22941573387056174,0.7980285947171274,0.8005831697842192,-0.6127793463544545,-1.512221006326873,1.489058292168413,-0.22941573387056183,2.152795937141579,0.31246738809909297,1.198822914990496,1.5275252316519468,1.5021008116821926,-1.05225215544651,0,0
count_trojan,dumptrojan5.vcd,1.2675298808153783,-0.22941573387056174,0.7980285947171274,0.8005831697842192,1.2675298808153783,0.9797271514090145,-0.6515619008971288,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29050447200265955,0,1
count_trusted,dumptrojan6.vcd,-0.6799332473248056,-0.22941573387056174,0.7331482211628894,0.7356271316678525,-0.6799332473248056,-1.5753083014594274,1.423337496767278,-0.22941573387056183,2.4150694830985504,0.39061929590669625,1.2740433688313009,1.5275252316519468,1.3558894236411534,-1.0243787469977064,0,0
count_trojan,dumptrojan6.vcd,1.2339529303302028,-0.22941573387056174,0.7655884079400084,0.7681051507260359,1.2339529303302028,0.9797271514090145,-0.653822139892406,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29069934160625804,0,1
count_trusted,dumptrusted1.vcd,1.9054919400337147,-0.22941573387056174,1.4143921434823883,1.4176655318897027,1.9054919400337147,0.9797271514090145,-0.6533745678141333,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29069934160625804,1,0
count_trojan,dumptrusted1.vcd,-1.4186261579986685,-0.22941573387056174,-1.7647461606752735,-1.7651803358122642,-1.4186261579986685,-0.8224853555249756,-0.6515619008971288,-0.22941573387056183,0.4831438097547873,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,-1.481687688991265,1,1
count_trusted,dumptrusted2.vcd,-0.10912508907682066,-0.22941573387056174,-0.5320190631447516,-0.5310156116012975,-0.10912508907682066,0.9797271514090145,-0.6560272511073105,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29069934160625804,1,0
count_trojan,dumptrusted2.vcd,-1.4186261579986685,-0.22941573387056174,-1.7647461606752735,-1.7651803358122642,-1.4186261579986685,-0.8224853555249756,-0.6515619008971288,-0.22941573387056183,0.4831438097547873,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,-1.481687688991265,1,1
count_trusted,dumptrusted3.vcd,-0.10912508907682066,-0.22941573387056174,-0.5320190631447516,-0.5310156116012975,-0.10912508907682066,0.9797271514090145,-0.6560272511073105,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29069934160625804,1,0
count_trojan,dumptrusted3.vcd,-1.4186261579986685,-0.22941573387056174,-1.7647461606752735,-1.7651803358122642,-1.4186261579986685,-0.8224853555249756,-0.6515619008971288,-0.22941573387056183,0.4831438097547873,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,-1.481687688991265,1,1
count_trusted,dumptrusted4.vcd,-0.10912508907682066,-0.22941573387056174,-0.5320190631447516,-0.5310156116012975,-0.10912508907682066,0.9797271514090145,-0.6560272511073105,-0.22941573387056183,-0.8633498413635929,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,0.29069934160625804,1,0
count_trojan,dumptrusted4.vcd,-1.4186261579986685,-0.22941573387056174,-1.7647461606752735,-1.7651803358122642,-1.4186261579986685,-0.8224853555249756,-0.6515619008971288,-0.22941573387056183,0.4831438097547873,-0.5862795516883452,-0.6501796310804498,-0.6546536707079771,-0.6379022314639196,-1.481687688991265,1,1
